vehicle_id,stop_time,dep_time,arr_time,drive_time,occupancy
79,600,180766,186668,5902,1
1,600,184160,186684,2524,0
192,600,182598,186707,4109,1
46,600,186760,186760,0,0
71,600,180072,186832,6760,1
161,600,178090,186974,8884,1
103,600,187120,187120,0,0
143,600,187380,187380,0,0
133,600,185110,187441,2331,0
123,600,185950,187785,1835,0
86,600,187540,187845,305,0
45,600,185220,187960,2740,0
9,600,185025,188118,3093,1
197,600,183724,188456,4732,1
127,600,183660,188476,4816,0
135,600,185490,188511,3021,1
118,600,183470,188542,5072,0
125,600,184146,188607,4461,1
51,600,182800,188633,5833,0
39,600,188330,188880,550,0
112,600,182040,188966,6926,1
69,600,182916,189061,6145,1
199,600,188280,189197,917,0
185,600,185660,189309,3649,0
68,600,185600,189309,3709,0
73,600,187024,189328,2304,1
70,600,189330,189330,0,0
169,600,185688,189472,3784,1
55,600,184340,189534,5194,0
11,600,182010,189623,7613,0
131,600,184560,189861,5301,0
187,600,187120,190041,2921,0
68,600,189909,190090,181,1
45,600,188560,190137,1577,1
14,600,184151,190227,6076,1
190,600,185370,190420,5050,1
166,600,181710,190510,8800,1
23,600,186830,190529,3699,0
46,600,187360,190662,3302,1
123,600,188385,190713,2328,1
5,600,190730,190730,0,0
28,600,178273,191100,12827,1
150,600,186320,191141,4821,0
79,600,188070,191152,3082,0
87,600,180519,191375,10856,1
107,600,188580,191533,2953,0
106,600,184810,191555,6745,1
159,600,184333,191562,7229,0
120,600,188290,191712,3422,0
37,600,183080,191928,8848,1
9,600,188718,191938,3220,1
121,600,186290,191962,5672,0
86,600,188445,192060,3615,1
147,600,185860,192104,6244,0
22,600,191400,192199,799,0
193,600,185310,192250,6940,1
53,600,192370,192370,0,0
58,600,189860,192581,2721,0
50,600,186738,192582,5844,1
94,600,175047,192609,17562,1
1,600,187284,192640,5356,1
64,600,190310,192645,2335,0
57,600,189300,192648,3348,0
83,600,191770,192673,903,0
168,600,190070,192800,2730,0
190,600,191020,192806,1786,0
191,600,188720,192814,4094,0
65,600,192400,193042,642,0
161,600,190490,193168,2678,0
50,600,193220,193220,0,0
51,600,189233,193224,3991,1
19,600,192550,193540,990,0
134,600,193620,193620,0,0
187,600,190641,193867,3226,1
103,600,187720,193924,6204,1
195,600,189240,193967,4727,0
167,600,190740,193998,3258,0
69,600,191990,194008,2018,0
193,600,194020,194020,0,0
39,600,189480,194095,4615,1
192,600,194120,194120,0,0
89,600,184219,194199,9980,1
55,600,190134,194202,4068,1
28,169,191269,194210,2941,1
52,600,185448,194233,8785,1
42,600,194260,194260,0,0
98,600,189250,194333,5083,0
68,51,190141,194441,4300,1
152,600,191270,194510,3240,0
131,600,190461,194520,4059,1
119,600,183180,194728,11548,1
86,0,192060,194842,2782,1
118,600,189142,194859,5717,1
101,600,192750,194951,2201,0
102,600,190500,194982,4482,0
14,600,192440,195003,2563,0
94,600,195260,195260,0,0
41,600,187170,195277,8107,1
134,600,194220,195290,1070,1
121,600,192562,195300,2738,1
39,600,195480,195480,0,0
11,600,190223,195485,5262,1
36,600,178730,195510,16780,1
145,600,193350,195559,2209,0
5,600,191330,195574,4244,1
